name,id,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548
Pdgfc,ENSMUST00000029652,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Pdk1,ENSMUST00000006669,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
Pik3ca,ENSMUST00000029201,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
Pik3cd,ENSMUST00000105688,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Pik3cg,ENSMUST00000053215,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Pik3r1,ENSMUST00000055518,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
Pik3r2,ENSMUST00000034296,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Pik3r5,ENSMUST00000021283,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Pkm,ENSMUST00000034834,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
Pla2g6,ENSMUST00000174021,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Plcg1,ENSMUST00000103115,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Prf1,ENSMUST00000219375,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Prkcb,ENSMUST00000064989,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Pten,ENSMUST00000013807,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
Ptgdr2,ENSMUST00000037261,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
Ptprc,ENSMUST00000183301,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
Rac1,ENSMUST00000080537,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
Rac2,ENSMUST00000043214,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Raf1,ENSMUST00000000451,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
Reps1,ENSMUST00000126390,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
Rorc,ENSMUST00000029795,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
Rps6kb1,ENSMUST00000154617,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Slc2a1,ENSMUST00000030398,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
Slc44a4,ENSMUST00000007249,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Smad2,ENSMUST00000168423,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
Smpd3,ENSMUST00000067512,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Sp1,ENSMUST00000001326,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Spib,ENSMUST00000035323,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
Stat4,ENSMUST00000027277,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Stat6,ENSMUST00000092074,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Tbx21,ENSMUST00000001484,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Zbtb16,ENSMUST00000093852,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
