name,id,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548
KIAA1755,ENST00000611812.1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
KMT2A,ENST00000534358.8,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
LMAN1,ENST00000251047.6,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
LSM3,ENST00000306024.4,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
MAML2,ENST00000524717.6,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
MARCKS,ENST00000612661.2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
MMP7,ENST00000260227.5,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
MMS22L,ENST00000511335.5,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
MYH9,ENST00000216181.11,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
NDUFA4,ENST00000339600.6,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
NDUFB6,ENST00000379847.8,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
NES,ENST00000368223.4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
NME1,ENST00000393196.8,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
NUCKS1,ENST00000367142.5,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
NUDT1,ENST00000356714.6,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
OBP2B,ENST00000473737.5,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
OGFRL1,ENST00000370435.5,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
PDIA6,ENST00000272227.8,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
PNRC1,ENST00000336032.4,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
POLR2L,ENST00000322028.5,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
PRELP,ENST00000343110.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
PRKDC,ENST00000314191.7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
PRLR,ENST00000618457.5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
PRPF4B,ENST00000337659.11,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
REL,ENST00000295025.12,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
RNF152,ENST00000312828.4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
RNF19A,ENST00000341084.7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
S100B,ENST00000291700.9,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
SAA1,ENST00000356524.9,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
SCGB3A1,ENST00000292641.4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
SH3BGRL3,ENST00000270792.10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
SHPRH,ENST00000367505.6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
SIVA1,ENST00000329967.11,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
SLC12A2,ENST00000262461.7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
SLC26A2,ENST00000286298.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
SMC1A,ENST00000322213.9,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
SNRPG,ENST00000272348.7,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
SOX4,ENST00000244745.4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
SPON2,ENST00000290902.10,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
SPTBN1,ENST00000467371.1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
STC1,ENST00000290271.7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
SYNE2,ENST00000555002.6,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
SYNM,ENST00000336292.11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
SYNPO2,ENST00000307142.9,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
TIMP1,ENST00000218388.9,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
TMEM14C,ENST00000229563.6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
TMEM258,ENST00000537328.6,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
TMEM87A,ENST00000389834.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
TOB1,ENST00000499247.3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TRIM44,ENST00000299413.7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
TRPS1,ENST00000395715.8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
UBE2S,ENST00000264552.14,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
UQCR11,ENST00000591899.8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
USP1,ENST00000339950.5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
